Country name,City name,Airport Code,Airport Name,Country Abbrev.,World Area Code
United States,Houston,JGQ,Transco Twr Galleria,US,67
United States,Houston,IWS,West Houston,US,67
United States,Houston,JWH,Westchase Hilton H/P,US,67
United States,Houston,JWL,Woodlawns,US,67
United States,Hudson,HCC,Columbia County,US,67
United States,Hughes,HUS,Municipal,US,67
United States,Hugo,HUJ,Hugo,US,67
United States,Humboldt,HUD,Humboldt,US,67
United States,Humboldt,HBO,Municipal,US,67
United States,Huntingburg,HNB,Municipal,US,67
United States,Huntington,HTS,Tri-State/Milton,US,67
United States,Huntsville,HUA,Redstone AAF,US,67
United States,Huntsville,HSV,Huntsville,US,67
United States,Huron,HON,Howes,US,67
United States,Huslia,HSL,Huslia,US,67
United States,Hutchinson,HUT,Hutchinson,US,67
United States,Hyannis,HYA,Barnstable,US,67
United States,Hydaburg,HYG,SPB,US,67
United States,Hyder,WHD,SPB,US,67
United States,Icy Bay,ICY,Icy Bay,US,67
United States,Ida Grove,IDG,Municipal,US,67
United States,Idaho Falls,IDA,Fanning Field,US,67
United States,Igiugig,IGG,Igiugig,US,67
United States,Iliamna,ILI,Iliamna,US,67
United States,Immokalee,IMM,Immokalee,US,67
United States,Imperial,IPL,Imperial County,US,67
United States,Imperial,IML,Imperial,US,67
United States,Imperial Beach,NRS,NAS,US,67
United States,Independence,IDP,Independence,US,67
United States,Indian Springs,INS,Af Aux,US,67
United States,Indiana,IDI,Indiana,US,67
United States,Indianapolis,IND,International,US,67
United States,International Falls,INL,Falls Intl,US,67
United States,Inyokern,IYK,Kern County,US,67
United States,Iowa City,IOW,Iowa City,US,67
United States,Iowa Falls,IFA,Iowa Falls,US,67
United States,Iraan,IRB,Municipal,US,67
United States,Iron Mountain,IMT,Ford,US,67
United States,Ironwood,IWD,Gogebic County,US,67
United States,Isabel Pass,ISL,Isabel Pass,US,67
United States,Islip,ISP,Long Island Macarthur,US,67
United States,Ithaca,ITH,Tompkins County,US,67
United States,Ivanof Bay,KIB,SPB,US,67
United States,Ivishak,IVH,Ivishak,US,67
United States,Jackpot,KPT,Jackpot,US,67
United States,Jackson,JXN,Reynolds Municipal,US,67
United States,Jackson,MJQ,Jackson,US,67
United States,Jackson,HKS,Hawkins Field,US,67
United States,Jackson,JAN,Jackson-Evers,US,67
United States,Jackson,MKL,Mckellar,US,67
United States,Jackson,JAC,Jackson Hole,US,67
